id,filename,group,category,index_in_set,image_path,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev,label,imageID
ai_cityscape_00019,ai_cityscape_00019.jpg,ai,cityscape,19,images/ai_cityscape_00019.jpg,254,44.2761,0,23.2196,0,39.209,AI Cityscape 00019,109
ai_cityscape_00020,ai_cityscape_00020.jpg,ai,cityscape,20,images/ai_cityscape_00020.jpg,83,58.8598,44,26.0171,157,78.2728,AI Cityscape 00020,110
ai_cityscape_00021,ai_cityscape_00021.jpg,ai,cityscape,21,images/ai_cityscape_00021.jpg,125,50.3627,86,37.0418,158,34.2598,AI Cityscape 00021,111
ai_cityscape_00022,ai_cityscape_00022.jpg,ai,cityscape,22,images/ai_cityscape_00022.jpg,47,39.3937,84,51.3135,146,71.3682,AI Cityscape 00022,112
ai_cityscape_00023,ai_cityscape_00023.jpg,ai,cityscape,23,images/ai_cityscape_00023.jpg,89,52.8239,96,44.072,165,61.4631,AI Cityscape 00023,113
ai_cityscape_00024,ai_cityscape_00024.jpg,ai,cityscape,24,images/ai_cityscape_00024.jpg,144,62.2151,41,42.7515,131,55.8036,AI Cityscape 00024,114
ai_cityscape_00025,ai_cityscape_00025.jpg,ai,cityscape,25,images/ai_cityscape_00025.jpg,131,57.5584,37,39.7437,18,71.731,AI Cityscape 00025,115
ai_cityscape_00026,ai_cityscape_00026.jpg,ai,cityscape,26,images/ai_cityscape_00026.jpg,75,44.966,38,31.2046,42,68.4746,AI Cityscape 00026,116
ai_cityscape_00027,ai_cityscape_00027.jpg,ai,cityscape,27,images/ai_cityscape_00027.jpg,195,56.5828,20,17.859,42,36.3199,AI Cityscape 00027,117
ai_cityscape_00028,ai_cityscape_00028.jpg,ai,cityscape,28,images/ai_cityscape_00028.jpg,127,47.9644,45,30.7992,18,77.1731,AI Cityscape 00028,118
ai_cityscape_00029,ai_cityscape_00029.jpg,ai,cityscape,29,images/ai_cityscape_00029.jpg,118,52.9284,66,36.5753,150,54.7424,AI Cityscape 00029,119
ai_cityscape_00030,ai_cityscape_00030.jpg,ai,cityscape,30,images/ai_cityscape_00030.jpg,201,51.1155,64,42.2043,138,58.9071,AI Cityscape 00030,120
ai_cityscape_00031,ai_cityscape_00031.jpg,ai,cityscape,31,images/ai_cityscape_00031.jpg,153,70.4431,23,45.3886,146,54.3511,AI Cityscape 00031,121
ai_cityscape_00032,ai_cityscape_00032.jpg,ai,cityscape,32,images/ai_cityscape_00032.jpg,77,61.8132,27,40.4079,127,60.8193,AI Cityscape 00032,122
ai_cityscape_00033,ai_cityscape_00033.jpg,ai,cityscape,33,images/ai_cityscape_00033.jpg,63,54.6766,63,44.9233,139,54.1337,AI Cityscape 00033,123
ai_cityscape_00034,ai_cityscape_00034.jpg,ai,cityscape,34,images/ai_cityscape_00034.jpg,203,64.43,20,39.3779,172,75.6873,AI Cityscape 00034,124
ai_cityscape_00035,ai_cityscape_00035.jpg,ai,cityscape,35,images/ai_cityscape_00035.jpg,97,55.5715,46,47.9281,138,39.933,AI Cityscape 00035,125
ai_cityscape_00036,ai_cityscape_00036.jpg,ai,cityscape,36,images/ai_cityscape_00036.jpg,101,65.5699,146,39.7142,22,13.8937,AI Cityscape 00036,126
ai_cityscape_00037,ai_cityscape_00037.jpg,ai,cityscape,37,images/ai_cityscape_00037.jpg,110,49.1164,71,33.3185,145,68.5961,AI Cityscape 00037,127
ai_cityscape_00038,ai_cityscape_00038.jpg,ai,cityscape,38,images/ai_cityscape_00038.jpg,218,54.0186,21,12.7527,21,15.6421,AI Cityscape 00038,128
ai_cityscape_00039,ai_cityscape_00039.jpg,ai,cityscape,39,images/ai_cityscape_00039.jpg,74,57.0863,49,26.0715,146,34.6951,AI Cityscape 00039,129
ai_cityscape_00040,ai_cityscape_00040.jpg,ai,cityscape,40,images/ai_cityscape_00040.jpg,139,58.933,98,35.3568,147,23.131,AI Cityscape 00040,130
ai_cityscape_00041,ai_cityscape_00041.jpg,ai,cityscape,41,images/ai_cityscape_00041.jpg,104,55.1235,38,32.2379,135,33.3104,AI Cityscape 00041,131
ai_cityscape_00042,ai_cityscape_00042.jpg,ai,cityscape,42,images/ai_cityscape_00042.jpg,88,49.7265,40,23.2692,61,58.0735,AI Cityscape 00042,132
ai_cityscape_00043,ai_cityscape_00043.jpg,ai,cityscape,43,images/ai_cityscape_00043.jpg,144,69.11,25,14.2773,36,24.3162,AI Cityscape 00043,133
ai_cityscape_00044,ai_cityscape_00044.jpg,ai,cityscape,44,images/ai_cityscape_00044.jpg,149,67.0952,33,41.5222,161,87.8423,AI Cityscape 00044,134
ai_cityscape_00045,ai_cityscape_00045.jpg,ai,cityscape,45,images/ai_cityscape_00045.jpg,158,40.6804,66,28.9135,148,50.0341,AI Cityscape 00045,135
ai_cityscape_00046,ai_cityscape_00046.jpg,ai,cityscape,46,images/ai_cityscape_00046.jpg,106,42.1169,82,42.8693,146,68.3156,AI Cityscape 00046,136
ai_cityscape_00047,ai_cityscape_00047.jpg,ai,cityscape,47,images/ai_cityscape_00047.jpg,126,64.3703,44,40.7651,148,65.1805,AI Cityscape 00047,137
ai_cityscape_00048,ai_cityscape_00048.jpg,ai,cityscape,48,images/ai_cityscape_00048.jpg,69,50.5589,51,45.1999,116,57.2765,AI Cityscape 00048,138
ai_cityscape_00049,ai_cityscape_00049.jpg,ai,cityscape,49,images/ai_cityscape_00049.jpg,58,60.3164,83,43.7943,148,53.8613,AI Cityscape 00049,139
ai_cityscape_00050,ai_cityscape_00050.jpg,ai,cityscape,50,images/ai_cityscape_00050.jpg,97,43.216,64,47.9805,136,39.486,AI Cityscape 00050,140
ai_cityscape_00051,ai_cityscape_00051.jpg,ai,cityscape,51,images/ai_cityscape_00051.jpg,98,49.4624,77,49.2225,144,53.545,AI Cityscape 00051,141
ai_cityscape_00052,ai_cityscape_00052.jpg,ai,cityscape,52,images/ai_cityscape_00052.jpg,193,30.6921,32,26.1595,135,43.0069,AI Cityscape 00052,142
ai_cityscape_00053,ai_cityscape_00053.jpg,ai,cityscape,53,images/ai_cityscape_00053.jpg,140,47.5476,28,27.9046,8,111.015,AI Cityscape 00053,143
ai_cityscape_00054,ai_cityscape_00054.jpg,ai,cityscape,54,images/ai_cityscape_00054.jpg,100,34.4082,63,33.8638,143,68.4188,AI Cityscape 00054,144
ai_cityscape_00055,ai_cityscape_00055.jpg,ai,cityscape,55,images/ai_cityscape_00055.jpg,232,47.9505,9,17.0424,145,46.919,AI Cityscape 00055,145
ai_cityscape_00056,ai_cityscape_00056.jpg,ai,cityscape,56,images/ai_cityscape_00056.jpg,180,48.3946,114,40.0325,146,20.9999,AI Cityscape 00056,146
ai_cityscape_00057,ai_cityscape_00057.jpg,ai,cityscape,57,images/ai_cityscape_00057.jpg,95,50.4084,27,26.0672,139,66.2966,AI Cityscape 00057,147
ai_cityscape_00058,ai_cityscape_00058.jpg,ai,cityscape,58,images/ai_cityscape_00058.jpg,119,48.7778,36,31.146,140,59.9312,AI Cityscape 00058,148
ai_cityscape_00059,ai_cityscape_00059.jpg,ai,cityscape,59,images/ai_cityscape_00059.jpg,71,45.5073,71,43.578,138,38.7094,AI Cityscape 00059,149
ai_cityscape_00060,ai_cityscape_00060.jpg,ai,cityscape,60,images/ai_cityscape_00060.jpg,132,63.9209,51,34.5973,24,45.0415,AI Cityscape 00060,150
ai_cityscape_00061,ai_cityscape_00061.jpg,ai,cityscape,61,images/ai_cityscape_00061.jpg,152,55.1336,42,45.5173,25,43.4037,AI Cityscape 00061,151
ai_cityscape_00062,ai_cityscape_00062.jpg,ai,cityscape,62,images/ai_cityscape_00062.jpg,86,41.1648,112,56.8,149,30.7283,AI Cityscape 00062,152
ai_cityscape_00063,ai_cityscape_00063.jpg,ai,cityscape,63,images/ai_cityscape_00063.jpg,119,46.6815,132,75.4744,154,68.575,AI Cityscape 00063,153
