filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
ai_cityscape_00053.jpg	143	140	47.5476	28	27.9046	8	111.015
ai_cityscape_00054.jpg	144	100	34.4082	63	33.8638	143	68.4188
ai_cityscape_00055.jpg	145	232	47.9505	9	17.0424	145	46.919
ai_cityscape_00056.jpg	146	180	48.3946	114	40.0325	146	20.9999
ai_cityscape_00057.jpg	147	95	50.4084	27	26.0672	139	66.2966
ai_cityscape_00058.jpg	148	119	48.7778	36	31.146	140	59.9312
ai_cityscape_00059.jpg	149	71	45.5073	71	43.578	138	38.7094
ai_cityscape_00060.jpg	150	132	63.9209	51	34.5973	24	45.0415
ai_cityscape_00061.jpg	151	152	55.1336	42	45.5173	25	43.4037
ai_cityscape_00062.jpg	152	86	41.1648	112	56.8	149	30.7283
ai_cityscape_00063.jpg	153	119	46.6815	132	75.4744	154	68.575
ai_cityscape_00064.jpg	154	186	64.4407	72	58.1054	139	47.2968
ai_cityscape_00065.jpg	155	84	40.8089	83	38.7698	158	74.6385
ai_cityscape_00066.jpg	156	199	36.2819	10	7.7896	18	39.0516
ai_cityscape_00067.jpg	157	146	60.0864	14	21.6933	127	68.5505
ai_cityscape_00068.jpg	158	72	59.236	91	45.1451	150	84.8939
ai_cityscape_00069.jpg	159	106	53.607	54	28.0929	140	48.2427
ai_cityscape_00070.jpg	160	99	51.7098	84	43.2494	146	32.5681
ai_cityscape_00071.jpg	161	76	53.545	35	27.0422	130	56.3228
ai_cityscape_00072.jpg	162	69	45.4	101	43.6719	135	30.0437
ai_cityscape_00073.jpg	163	165	68.717	80	37.0588	13	90.4973
ai_cityscape_00074.jpg	164	84	54.2332	24	51.8681	135	84.8637
ai_cityscape_00075.jpg	165	196	41.7827	12	13.203	154	38.4274
ai_cityscape_00076.jpg	166	102	40.2623	27	16.3055	143	59.5227
ai_cityscape_00077.jpg	167	152	58.1085	23	19.4217	20	53.2523
ai_cityscape_00078.jpg	168	165	56.0494	64	46.2231	147	45.9572
ai_cityscape_00079.jpg	169	222	64.8689	27	46.3275	150	40.1738
ai_cityscape_00080.jpg	170	117	60.4267	28	21.5289	146	59.8367
ai_cityscape_00081.jpg	171	179	57.8748	80	62.9631	145	47.0855
ai_cityscape_00082.jpg	172	42	43.1569	101	54.1681	147	44.0669
ai_cityscape_00083.jpg	173	98	52.6403	82	44.6245	158	48.3813
ai_cityscape_00084.jpg	174	170	67.2706	15	40.3917	127	61.47
ai_cityscape_00085.jpg	175	125	51.3155	42	35.6138	127	52.7407
ai_cityscape_00086.jpg	176	47	57.1376	47	30.2477	135	59.0264
ai_cityscape_00087.jpg	177	122	55.3572	100	57.3275	146	20.3565
ai_cityscape_00088.jpg	178	167	57.8851	15	21.6669	156	96.6431
ai_cityscape_00089.jpg	179	245	27.6982	3	25.4974	42	68.6982
ai_cityscape_00090.jpg	180	101	52.4917	44	63.7036	125	65.6009
ai_landscape_00001.jpg	181	145	57.6795	59	62.6518	56	54.5357
ai_landscape_00002.jpg	182	92	30.1676	53	46.4651	147	62.5359
ai_landscape_00003.jpg	183	129	48.3051	83	44.7708	50	51.9712
ai_landscape_00004.jpg	184	137	45.8367	51	70.8875	35	47.6851
ai_landscape_00005.jpg	185	242	48.5971	19	49.6711	145	57.77
ai_landscape_00006.jpg	186	198	64.4803	17	38.9093	106	52.8297
ai_landscape_00007.jpg	187	89	64.9686	118	55.7125	41	22.8576
ai_landscape_00008.jpg	188	107	50.3461	92	57.63	114	48.5724
ai_landscape_00009.jpg	189	38	53.0624	63	61.6203	143	58.305
ai_landscape_00010.jpg	190	132	59.7398	67	25.8035	164	52.6444
ai_landscape_00011.jpg	191	190	60.286	17	15.2762	131	50.0752
ai_landscape_00012.jpg	192	81	46.535	101	45.4342	47	44.2863
ai_landscape_00013.jpg	193	112	46.2011	97	62.9484	62	22.5711
ai_landscape_00014.jpg	194	174	56.2489	64	15.8122	183	104.0648
ai_landscape_00015.jpg	195	94	49.091	87	51.3355	27	55.0116
ai_landscape_00016.jpg	196	195	62.2228	7	57.9955	57	63.3142
ai_landscape_00017.jpg	197	177	57.4893	44	44.8316	142	68.8276
ai_landscape_00018.jpg	198	236	30.7341	10	10.7902	158	80.5087
ai_landscape_00019.jpg	199	50	53.5584	91	47.4361	42	114.3799
ai_landscape_00020.jpg	200	61	52.583	69	43.3756	116	64.4976
