"image_id","brightness_median","brightness_stdev","saturation_median","saturation_stdev","hue_median","hue_stdev","group","category"
69,82,61.55,58,55.58,25,48.77,"Human","Portre"
70,9,29.65,0,80.89,0,38.58,"Human","Portre"
71,1,39.47,0,104.42,0,21.8,"Human","Portre"
72,139,69.34,110,81.35,180,97.39,"Human","Portre"
73,80,56.05,71,51.09,58,76.82,"Human","Portre"
74,52,43.03,80,41.52,35,55.46,"Human","Portre"
75,113,36.63,101,49.77,153,94.27,"Human","Portre"
76,70,48.04,85,68.4,117,48.7,"Human","Portre"
77,125,66.46,47,32.47,146,55.77,"Human","Portre"
78,74,65.89,44,25.32,200,71.35,"Human","Portre"
79,92,59.74,42,24.29,205,99.6,"Human","Portre"
80,101,61.07,40,34.54,140,65.56,"Human","Portre"
81,140,50.1,28,24.87,28,97.51,"Human","Portre"
82,112,75.68,110,56.83,35,81.02,"Human","Portre"
83,83,47.44,81,58.74,19,54.94,"Human","Portre"
84,201,79.05,16,44.48,16,61.54,"Human","Portre"
85,79,68.46,51,33.37,16,3.69,"Human","Portre"
86,82,76.63,58,54.33,104,62.27,"Human","Portre"
87,129,39.99,47,44.15,120,51.18,"Human","Portre"
88,49,87.2,77,55,51,40.6,"Human","Portre"
89,194,57.59,71,52.08,35,99.59,"Human","Portre"
90,163,50.92,84,41.98,22,56.45,"Human","Portre"
1,89,64.97,118,55.71,41,22.86,"AI","Manzara"
2,204,53.67,8,58.14,116,54.29,"AI","Manzara"
3,107,50.35,92,57.63,114,48.57,"AI","Manzara"
4,38,53.06,63,61.62,143,58.31,"AI","Manzara"
5,132,59.74,67,25.8,164,52.64,"AI","Manzara"
6,190,60.29,17,15.28,131,50.08,"AI","Manzara"
7,81,46.53,101,45.43,47,44.29,"AI","Manzara"
8,193,53.16,11,20.19,26,30.71,"AI","Manzara"
9,112,46.2,97,62.95,62,22.57,"AI","Manzara"
10,145,57.68,59,62.65,56,54.54,"AI","Manzara"
11,174,56.25,64,15.81,183,104.06,"AI","Manzara"
12,94,49.09,87,51.34,27,55.01,"AI","Manzara"
13,195,62.22,7,58,57,63.31,"AI","Manzara"
14,177,57.49,44,44.83,142,68.83,"AI","Manzara"
15,236,30.73,10,10.79,158,80.51,"AI","Manzara"
16,61,52.58,69,43.38,116,64.5,"AI","Manzara"
17,237,82.29,6,18.56,49,26.26,"AI","Manzara"
18,224,31.07,28,39.47,143,63.7,"AI","Manzara"
19,96,55.42,123,65.54,51,48.59,"AI","Manzara"
20,148,40.64,91,50.51,24,61.37,"AI","Manzara"
21,92,30.17,53,46.47,147,62.54,"AI","Manzara"
22,103,48.79,107,53.38,41,47.86,"AI","Manzara"
23,50,53.56,91,47.44,42,114.38,"AI","Manzara"
24,139,53.79,43,44.98,72,47.72,"AI","Manzara"
25,197,53.17,56,48.6,139,62.81,"AI","Manzara"
26,203,49.96,42,29.52,141,59.51,"AI","Manzara"
27,134,61.7,86,64.71,41,46.52,"AI","Manzara"
